day,category,count
57,Support & Service Issues,0
57,Localization Issues,0
58,Content Quality Issues,1
58,Localization Issues,1
58,Ads Related Issues,0
58,Coins Related Issues,0
58,Content Discovery Issues,0
58,Listening Related Issues,0
58,User Experience Issues,0
58,Support & Service Issues,0
59,User Experience Issues,1
59,Ads Related Issues,0
59,Coins Related Issues,0
59,Content Discovery Issues,0
59,Listening Related Issues,0
59,Content Quality Issues,0
59,Support & Service Issues,0
59,Localization Issues,0
60,Coins Related Issues,1
60,Listening Related Issues,1
60,Content Quality Issues,1
60,User Experience Issues,1
60,Localization Issues,1
60,Ads Related Issues,0
60,Content Discovery Issues,0
60,Support & Service Issues,0
61,Listening Related Issues,1
61,Ads Related Issues,0
61,Coins Related Issues,0
61,Content Discovery Issues,0
61,Content Quality Issues,0
61,User Experience Issues,0
61,Support & Service Issues,0
61,Localization Issues,0
64,Listening Related Issues,1
64,Coins Related Issues,1
64,Support & Service Issues,1
64,Ads Related Issues,0
64,Content Discovery Issues,0
64,Content Quality Issues,0
64,User Experience Issues,0
64,Localization Issues,0
65,Coins Related Issues,1
65,Listening Related Issues,1
65,Ads Related Issues,0
65,Content Discovery Issues,0
65,Content Quality Issues,0
65,User Experience Issues,0
65,Support & Service Issues,0
65,Localization Issues,0
68,Coins Related Issues,1
68,Ads Related Issues,0
68,Content Discovery Issues,0
68,Listening Related Issues,0
68,Content Quality Issues,0
68,User Experience Issues,0
68,Support & Service Issues,0
68,Localization Issues,0
69,Coins Related Issues,1
69,Ads Related Issues,0
69,Content Discovery Issues,0
69,Listening Related Issues,0
69,Content Quality Issues,0
69,User Experience Issues,0
69,Support & Service Issues,0
69,Localization Issues,0
70,User Experience Issues,1
70,Ads Related Issues,0
70,Coins Related Issues,0
70,Content Discovery Issues,0
70,Listening Related Issues,0
70,Content Quality Issues,0
70,Support & Service Issues,0
70,Localization Issues,0
71,Coins Related Issues,1
71,Ads Related Issues,0
71,Content Discovery Issues,0
71,Listening Related Issues,0
71,Content Quality Issues,0
71,User Experience Issues,0
71,Support & Service Issues,0
71,Localization Issues,0
72,Listening Related Issues,1
72,User Experience Issues,1
72,Ads Related Issues,0
72,Coins Related Issues,0
72,Content Discovery Issues,0
72,Content Quality Issues,0
72,Support & Service Issues,0
72,Localization Issues,0
73,Listening Related Issues,1
73,Ads Related Issues,0
73,Coins Related Issues,0
73,Content Discovery Issues,0
73,Content Quality Issues,0
73,User Experience Issues,0
73,Support & Service Issues,0
73,Localization Issues,0
74,Coins Related Issues,2
74,Ads Related Issues,0
74,Content Discovery Issues,0
74,Listening Related Issues,0
74,Content Quality Issues,0
74,User Experience Issues,0
74,Support & Service Issues,0
74,Localization Issues,0
76,Coins Related Issues,1
76,Ads Related Issues,0
76,Content Discovery Issues,0
76,Listening Related Issues,0
76,Content Quality Issues,0
76,User Experience Issues,0
76,Support & Service Issues,0
76,Localization Issues,0
77,Ads Related Issues,1
77,Coins Related Issues,0
77,Content Discovery Issues,0
77,Listening Related Issues,0
77,Content Quality Issues,0
77,User Experience Issues,0
77,Support & Service Issues,0
77,Localization Issues,0
79,User Experience Issues,1
79,Ads Related Issues,0
79,Coins Related Issues,0
79,Content Discovery Issues,0
79,Listening Related Issues,0
79,Content Quality Issues,0
79,Support & Service Issues,0
79,Localization Issues,0
80,User Experience Issues,1
80,Ads Related Issues,0
80,Coins Related Issues,0
80,Content Discovery Issues,0
80,Listening Related Issues,0
80,Content Quality Issues,0
80,Support & Service Issues,0
80,Localization Issues,0
82,Coins Related Issues,2
82,Support & Service Issues,1
82,Listening Related Issues,1
82,Ads Related Issues,1
82,Content Discovery Issues,0
82,Content Quality Issues,0
82,User Experience Issues,0
82,Localization Issues,0
83,Support & Service Issues,1
83,Ads Related Issues,0
83,Coins Related Issues,0
83,Content Discovery Issues,0
83,Listening Related Issues,0
83,Content Quality Issues,0
83,User Experience Issues,0
83,Localization Issues,0
85,Listening Related Issues,3
85,User Experience Issues,2
85,Support & Service Issues,1
85,Ads Related Issues,0
85,Coins Related Issues,0
85,Content Discovery Issues,0
85,Content Quality Issues,0
85,Localization Issues,0
86,Coins Related Issues,1
86,Ads Related Issues,0
86,Content Discovery Issues,0
86,Listening Related Issues,0
86,Content Quality Issues,0
86,User Experience Issues,0
86,Support & Service Issues,0
86,Localization Issues,0
88,Coins Related Issues,1
88,Ads Related Issues,0
88,Content Discovery Issues,0
88,Listening Related Issues,0
88,Content Quality Issues,0
88,User Experience Issues,0
88,Support & Service Issues,0
88,Localization Issues,0
89,Coins Related Issues,2
89,Listening Related Issues,2
89,User Experience Issues,2
89,Ads Related Issues,0
89,Content Discovery Issues,0
89,Content Quality Issues,0
89,Support & Service Issues,0
89,Localization Issues,0
93,Listening Related Issues,1
93,Ads Related Issues,0
93,Coins Related Issues,0
93,Content Discovery Issues,0
93,Content Quality Issues,0
93,User Experience Issues,0
93,Support & Service Issues,0
93,Localization Issues,0
94,Coins Related Issues,1
94,Ads Related Issues,0
94,Content Discovery Issues,0
94,Listening Related Issues,0
